"# of Use","# de uso"
"%1$s incl tax.","%1$s incl impuestos."
"%s - %s","%s - %s"
"%s Item(s)","%s artículo(s)"
"%s and above","%s y arriba"
"%s-%s of %s","%s-%s de %s"
"Categories Sitemap","Mapa de sitio de categorías"
Category,Categoría
"Category API","API de categorías"
"Category Data","Datos de categorías"
"Category Flat Data","Tablas de categorías"
"Category Link Block Template","Plantilla de bloque de enlace de categorías"
"Category Link Inline Template","Plantilla en línea de enlace de categorías"
"Category Products","Productos de categorías"
"Category Top Navigation","Navegador de cabezera de categorías"
"Category URL Suffix","Sufijo URL de categorías"
"Category attributes API","API de atributos de categorías"
"Category move error","Error de movimiento de categorías"
"Category move error %s","Error  %s de movimiento de categorías"
"Category move operation is not possible: parent category is equal to child category.","La operación de movimiento de categoría no es posible: la categoría superior es igual a la categoría inferior."
"Category move operation is not possible: the current category was not found.","La operación de movimiento de categoría no es posible: no se encontró la categoría actual."
"Category move operation is not possible: the new parent category was not found.","La operación de movimiento de categoría no es posible: no se encontró la nueva categoría superior."
"Category must be an instance of Mage_Catalog_Model_Category.","La categoría debe ser una instancia de Mage_Catalog_Model_Category."
Center,Centrar
Change,Cambiar
"Change or Retrieve attribute store view","Cambiar o recuperar la vista del almacén de atributos"
"Change status","Cambiar Estado"
"Check items to add to the cart or","Comprueba los productos para añadir al carro o"
"Choose an Option...","Escoge una opción..."
"Clear All","Limpiar todo"
"Clear Price","Precio claro"
"Click for price","Haga clic para ver el precio"
"Close Window","Cerrar ventana"
"Collapse All","Desplegar todo"
Comma-separated.,"Separado por comas."
Comparable,Comparable
"Comparable on Front-end","Comparable en Front-end"
"Comparable on the Frontend","Comparable en el Front-end"
Compare,Comparar
"Compare Products","Comparar productos"
"Conditions Combination","Combinación de condiciones"
"Configurable Product","Producto configurable"
"Configurable Product Settings","Configuración de producto configurable"
"Configure Product","Configurar producto"
Continue,Continuar
"Copy From Configurable","Copiar desde configurable"
Country/State,País/Estado
Create,Crear
"Create (Upload)","Crear (Subir)"
"Create Empty","Crear vacío"
"Create Permanent Redirect for URLs if URL Key Changed","Crear redireccionamiento permanente para URL si se cambia la clave de URL"
"Create Permanent Redirect for old URL","Crear redirección permanente para URL antigua"
"Create Product Settings","Crear configuración de producto"
"Create Simple Associated Product","Crear producto asociado simple"
"Create attribute set based on another set","Crear conjunto de atributos basado en otro conjunto"
"Create new attribute","Crear nuevo atributo"
"Create new category","Crear nueva categoría"
"Create new product","Crear nuevo producto"
Cross-sells,"Ventas cruzadas"
"Currently Shopping by:","Actualmente haciendo compras por:"
"Custom Design","Diseño personalizado"
"Custom Options","Opciones personalizadas"
"Custom options","Opciones personalizadas"
"Customer Group","grupo de clientes"
"Customers Reviews","comentarios de Clientes"
"Customers Tagged Product","Producto etiquetado de clientes"
"Data Type for Saving in Database","Tipo de datos para guardar en base de datos"
"Date & Time Custom Options","Opciones personalizadas de fecha y hora"
"Date Fields Order","Orden de campos de fecha"
"Date Subscribed","Fecha de Suscripción"
Datetime,"Fecha y hora"
Decimal,Decimal
"Declare attribute value saving scope","Declarar valor de atributo guardando alcance"
"Default ""What's This"" Text Message","Mensaje de texto predeterminado ""¿Qué es esto?"""
"Default Popup Text Message","Mensaje de texto emergente predeterminado"
"Default Price","Precio predeterminado"
"Default Price Navigation Step","Precio predeterminado Paso de navegación"
"Default Qty","Cantidad predeterminada"
"Default Values","Valores predeterminados"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Define el alcance de moneda base (""Configuración de moneda""> ""Opciones de moneda""> ""Moneda base"")."
Delete,Borrar
"Delete Attribute","Borrar atributo"
"Delete Attribute Set","Borrar conjunto de atributos"
"Delete Category","Borrar categoría"
"Delete Group Price","Borrar precio de grupo"
"Delete Option","Borrar opción"
"Delete Row","Borrar fila"
"Delete Search","Borrar búsqueda"
"Delete Selected Group","Borrar grupo seleccionado"
"Delete Tier","Borrar nivel"
"Delete attribute","Borrar atributo"
"Delete category","Borrar categoría"
"Delete product","Borrar producto"
"Depends on design theme","Depende del tema de diseño"
Description,Descripción
Design,Diseño
Details,Detalles
Disabled,Deshabilitado
"Disallowed file type.","Tipo de archivo no permitido."
"Disalollowed file format.","Formato de archivo no seguido."
"Display Actual Price","Mostrar el precio actual"
"Display Page Control","Mostrar control de página"
"Display Price Interval as One Price","Mostrar intervalo de precios como un precio"
"Display Product Count","Mostrar recuento de productos"
"Display Type","Tipo de visualización"
"Display in Suggested Terms","Mostrar en términos sugeridos"
"Double click on a group to rename it","Doble clic en un grupo para renombrarlo"
"Double click on above image to view full picture","Doble clic encima de la imagen para ver la imagen completa"
"Downloadable Information","Información descargable"
Duplicate,Duplicar
"Duplicate amount found.","Duplicar cantidad encontrada"
"Duplicate website group price customer group.","Duplicar el grupo de clientes del precio del grupo de sitios web."
"Duplicate website tier price customer group and quantity.","Duplicar grupo de clientes de precio de nivel de sitio web y cantidad."
"Duplicate website, country and state tax found.","Duplicar impuestos encontrados de sitio web, país y estado."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","P.ej. {{media url = ""ruta / a / imagen.jpg""}} {{url skin = ""ruta / a / imagen.gif""}}. El análisis de directivas dinámicas impacta el rendimiento del catálogo."
Edit,Editar
"Edit Attribute Set '%s'","Editar conjunto '%s' de atributos"
"Edit Product Attribute","Editar atributo de producto"
"Edit Product Attribute ""%s""","Editar atributo'%s' de producto"
"Edit Search","Editar búsqueda"
"Edit Search '%s'","Editar la búsqueda '%s'"
"Edit Set Name","Editar nombre de conjunto"
Email,"Correo electrónico"
"Email to a Friend","Enviar un correo electronico a un amigo"
Empty,Vaciar
"Enable MAP","Habilitar MAP"
"Enable Qty Increments","Habilitar incremento de cantidades"
"Enable WYSIWYG","Habilitar WYSIWYG"
"Enable for reindexing a big number of SKUs.","Habilitar para reindexar una gran cantidad de SKU."
Enabled,Habilitado
"Error during retrieval of option value: %s","Error durante la recuperación del valor'%s' de la opción"
Exclude,Excluir
"Expand All","Expandir todo"
Failed,Falló
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Error al copiar el archivo %s. Por favor, elimine los medios con imágenes no existentes y vuelva a intentarlo."
"Failed to move file: %s","Error al mover el archivo: %s"
"Feature Products","Productos destacados"
"Field is not complete","El campo no está completo"
"File options format is not valid.","El formato de las opciones de archivo no es válido."
"File upload failed","Carga de archivo fallida"
Filter,Filtrar
"Filter model name must be declared.","El nombre del modelo de filtro debe ser declarado."
"Filter must be an object. Please set correct filter.","El filtro debe ser un objeto. Por favor, configure el filtro correcto."
"Filterable (no results)","Filtrable (sin resultados)"
"Filterable (with results)","Filtrable (con resultados)"
"First Name",Nombre
Fixed,Fijo
"For internal use.","Para uso interno."
"For the last time placed.","Por última vez colocado."
Frontend,Front-end
"Frontend Model","Modelo de front-end"
"Frontend Properties","Propiedades de front-end"
Gallery,Galería
"General Information","Información general"
"Get full information about attribute with list of options","Obtenga información completa sobre el atributo con una lista de opciones"
"Get full information about custom option in product","Obtenga información completa sobre la opción personalizada en el producto"
"Get list of available custom option types","Obtener una lista de tipos de opciones personalizadas disponibles"
"Get list of non-default attributes by product type and attributes set","Obtener una lista de atributos no predeterminados por tipo de producto y conjunto de atributos"
"Get list of possible attribute types","Obtener una lista de posibles tipos de atributos"
"Get special price","Obtener precio especial"
Global,Global
"Globally Editable","Globalmente editable"
"Go to Home Page","Ir a la página de inicio"
Grid,Cuadrícula
"Group add","Agregar grupo"
"Group remove","Remover grupo"
"Grouped Product","Producto agrupado"
Groups,Grupos
Home,Home
ID,ID
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Si está vacío, se usará el nombre de categoría"
"If empty, the Product Name will be used","Si está vacío, se usará el nombre de producto"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si no especifica un valor de opción para una vista de tienda específica, se usará el valor predeterminado (Administrador)."
Image,Imagen
"Image content is not valid base64 data.","El contenido de la imagen no es válido para los datos de base64."
"Image does not exist.","La imagen no existe."
"Image file was not found.","El archivo de imagen no fue encontrado"
"Image type and information need to be specified for each store view.","El tipo de imagen y la información deben especificarse para cada vista de tienda."
"In Cart","En el carrito"
"In Stock","En stock"
"In stock","En stock"
"Incl. Tax","Impuesto incluido"
"Index product and categories URL rewrites","Reescrituras de URL de los indices de productos y categorías"
"Index product attributes for layered navigation building","Atributos del producto de índice para la construcción de navegación en capas"
"Index product prices","Precios de productos de índice"
"Indexed category/products association","Categoría indexada / asociación de productos"
Info,Información
"Info Column Options Wrapper","Contenedor de opciones de columna de información"
"Input Type","Tipo de entrada"
Integer,Entero
"Interval Division Limit","Límite de división de intervalo"
"Invalid Tier Prices","Precios de niveles inválidos"
"Invalid attribute %s","Atributo %s inválido"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opción de atributo inválido especificado para el atributo% s (% s), omitiendo el registro."
"Invalid attribute set specified, skipping the record.","Conjunto de atributos inválido especificado, omitiendo el registro."
"Invalid block: %s.","Bloque inválido: %s."
"Invalid category IDs.","IDs de categoría inválidas"
"Invalid category.","Categoría inválida"
"Invalid image file type.","Tipo de archivo de imagen no válido."
"Invalid image type.","Tipo de imagen inválido"
"Invalid option ID specified for %s (%s), skipping the record.","ID de opción no válida especificada para %s (%s), omitiendo el registro."
"Invalid product type specified, skipping the record.","Tipo de producto no válido especificado, omitiendo el registro."
"Invalid store specified","Tienda inválida especificada"
"Invalid store specified, skipping the record.","Tienda inválida especificada, omitiendo el registro."
"Invalid tier prices. The product is not associated to the requested website.","Precios de nivel no válidos. El producto no está asociado al sitio web solicitado."
Inventory,Inventario
"Is Default","Es predeterminado"
"Is Required","Es requerido"
"Items %s to %s of %s total","Elementos %s a %s de% s total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los elementos que no desea mostrar en el catálogo o en los resultados de búsqueda deben tener el estado 'Desactivado' en la tienda deseada."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los elementos que no desea mostrar en el catálogo o en los resultados de búsqueda deben tener el estado 'Desactivado' en la tienda deseada."
"Keep your eyes open for our special Back to School items and save A LOT!","¡Mantenga sus ojos abiertos para nuestros artículos especiales de Regreso a Clases y ahorre MUCHO!"
Label,Etiqueta
"Last Name",Apellido
"Last Notification","Última notificación"
"Layered Navigation","Navegación en capas"
"Learn More","Aprende más"
"Line %d, Email: %s","Línea %d, Correo electrónico: %s"
"Line %d, SKU: %s","Línea %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Enlace (relacionado, venta ascendente, venta cruzada)"
"Link product does not exist.","El producto del enlace no existe."
"Link to a Specified Category","Enlace a una categoría especificada"
"Link to a Specified Product","Enlace a un Producto Especificado"
List,Lista
"List Mode","Modo de lista"
"List of Products that are set as New","Lista de productos que están configurados como nuevos"
"List of types","Lista de tipos"
"Manage Attribute Sets","Administrar conjuntos de atributos"
"Manage Attributes","Administrar atributos"
"Manage Catalog Categories","Administrar categorías de catálogo"
"Manage Categories","Administrar categorías"
"Manage Label / Options","Administrar etiqueta / opciones"
"Manage Options (values of your attribute)","Administrar opciones (valores de tu atributo)"
"Manage Product Attributes","Administrar atributos del producto"
"Manage Product Sets","Administrar conjuntos de productos"
"Manage Products","Administrar productos"
"Manage Stock","Administrar Stock"
"Manage Titles (Size, Color, etc.)","Administrar títulos (tamaño, color, etc.)"
"Max Characters","Máximo de Caracteres"
"Maximal Depth","Profundidad máxima"
"Maximum Image Size","Tamaño máximo de la imagen"
"Maximum Number of Price Intervals","Número máximo de intervalos de precios"
"Maximum Qty Allowed in Shopping Cart","Cantidad máxima permitida en el carrito de la compra"
"Maximum allowed image size for '%s' is %sx%s px.","El tamaño de imagen máximo permitido para '%s' es% %sx%s pixeles."
"Maximum image height","Altura máxima de la imagen"
"Maximum image width","Ancho máximo de la imagen"
"Maximum number of characters:","Número máximo de caracteres:"
"Maximum number of price intervals is 100","El número máximo de intervalos de precios es 100"
"Maximum resolution for upload image","Resolución máxima para la imagen de carga"
"Maximum width and height dimension for upload image is %s.","La dimensión máxima de ancho y alto para cargar imágenes es%s."
"Maximum width and height resolutions for upload image","Resoluciones de ancho y altura máximas para subir imágenes"
"Maximum width base product image will be scaled down to in pixels","La imagen del producto base de ancho máximo se reducirá a en píxeles"
"Maximum width small product image will be scaled down to in pixels","La imagen del producto pequeño de ancho máximo se reducirá a en píxeles"
"Media Image","Imagen de medios"
"Middle Name","Segundo nombre"
"Minimum Advertised Price","Precio mínimo anunciado"
"Minimum Lines per Page","Líneas mínimas por página"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carrito de la compra"
"Minimum Qty for Item\'s Status to be Out of Stock","Cantidad mínima para que el estado de artículo/s fuera de stock"
"Missing SKU, skipping the record.","Falta SKU, omitiendo el registro."
"More Views","Más vistas"
Move,Mver
"Move category in tree","Mover categoría en árbol"
"Multi update product","Producto de actualización múltiple"
"Must be in the allowed values list.","Debe estar en la lista de valores permitidos."
"My Account","Mi cuenta"
N/A,"No disponible"
Name,Nombre
"Name in %s","Nombre en %s"
"New Product","Nuevo producto"
"New Product Attribute","Nuevo atributo de producto"
"New Products","Nuevos productos"
"New Products Grid Template","Nueva plantilla de cuadrícula de productos"
"New Products List Template","Nueva plantilla de lista de productos"
"New Root Category","Nueva categoría raíz"
"New Search","Nueva búsqueda"
"New Set Name","Nuevo nombre de conjunto"
"New Subcategory","Nueva subcategoría"
"New products","Nuevos productos"
Next,Siguiente
No,No
"No image","Sin imágen"
"No layout updates","Sin actualizaciones de diseño"
"No options of this product are available.","No hay opciones disponibles para este producto."
"No product collections found.","No se encontraron colecciones de productos."
None,Ninguna
"Not Visible Individually","No visible individualmente"
"Notify Low Stock RSS","RSS de notifación de bajo stock"
"Notify for Quantity Below","Notifique la cantidad a continuación"
"Number of Products per Page","Cantidad de productos por página"
"Number of Products to Display","Número de productos para mostrar"
"Number of Uses","Número de usos"
"Number of results","Cantidad de resultados"
"Number of results (For the last time placed)","Número de resultados (por última vez)"
OK,OK
OR,O
"Old Price:","Precio anterior:"
"On Gesture","En gesto"
"Option validation failed to add product to cart.","La validación de opción no pudo agregar producto al carrito."
"Option values","Valores de opción"
Option:,Opción:
Options,Opciones
"Options Control","Control de opciones"
"Options is required","Se requieren opciones"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nuestro servicio de atención al cliente está disponible todos los días, las 24 horas. Llámenos al (555) 555-0123."
"Out of Stock",Agotado
"Out of stock",Agotado
PM,PM
"Page Title Separator","Separador de título de página"
"Parent Category","Categoría principal"
Pending,Pendiente
"Pending Reviews RSS","RSS de comentarios pendientes"
Percentage,Porcentaje
"Please add rows to option.","Por favor agregue filas a la opción."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Tenga cuidado ya que una vez que hace clic en la fila, cargará los datos del paquete del archivo seleccionado y se perderán todos los datos del formulario no guardado."
"Please click on the Close Window button if it is not closed automatically.","Haga clic en el botón Cerrar ventana si no se cierra automáticamente."
"Please enter a new group name","Por favor, introduzca un nuevo nombre de grupo"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Actualice ""Reescrituras de URL de catálogo"" y ""Atributos de producto"" en Sistema - & gt; <a href=""%s"">Gestión de índices</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Por favor, actualice ""Atributos del producto"" en Sistema - & gt; <a href=""%s""> Gestión de índices </a>"
"Please select a static block ...","Por favor, seleccione un bloque estático ..."
"Please select items.","Por favor seleccione los artículos."
"Please select one or more attributes.","Por favor, seleccione uno o más atributos."
"Please select product(s).","Por favor seleccione producto(s)"
"Please select products for attributes update","Por favor seleccione productos para actualización de atributos"
"Please set up merge date/time","Configura la fecha/hora de fusión"
"Please set up merge date/time later then present date","Configure la fecha/hora de fusión luego que la fecha actual"
"Please specify date required option(s).","Por favor, especifique la(s) opción(es) requerida(s)."
"Please specify the number of products, that will not be divided into subintervals.","Por favor, especifique la cantidad de productos que no se dividirán en subintervalos."
"Please specify the product required option(s)","Por favor especifique las opciones requeridas por el producto"
"Please specify the product required option(s).","Por favor especifique la(s) opción(es) requerida(s) del producto."
"Please specify the product\'s option(s).","Por favor especifique la(s) opción(es) del producto."
"Please specify the product\'s required option(s).","Por favor especifique la(s) opción(es) requerida(s) del producto."
"Please specify the quantity of product(s).","Por favor, especifique la cantidad de producto(s)."
"Please specify time required option(s).","Por favor, especifique la(s) opción(es) de tiempo requerido."
"Please wait...","Por favor, espere..."
Position,Posición
"Position in Layered Navigation","Posición en la Navegación en capas"
"Position of attribute in layered navigation block","Posición de atributo en el bloque de navegación en capas"
Prev,Anterior
Previous,Anterior
Price,Precio
"Price Navigation Step Calculation","Cálculo de paso de navegación de precios"
"Price Type","Tipo de precio"
"Price is not available","El precio no está disponible"
"Price values for options should be specified in system base currency.","Los valores de precio para opciones se deban especificar en la moneda base del sistema."
Price:,Precio:
"Price: %s","Precio: %s"
"Print This Page","Imprimir esta página"
Product,Producto
"Product API","API de producto"
"Product Alerts","Alertas de productos"
"Product Attribute","Atributo de producto"
"Product Attributes","Atributos de producto"
"Product Categories","Categorías de Producto"
"Product Description","Descripción de producto"
"Product Extra Info","Información adicional de producto"
"Product Flat Data","Datos planos de producto"
"Product ID","ID de Producto"
"Product Image","Imagen de producto"
"Product Image Placeholders","Marcadores de posición de imagen de producto"
"Product Image Watermarks","Imagen de marcas de agua de producto"
"Product Images","Imágenes de producto"
"Product Images API","API de imágenes de producto"
"Product In Websites","Producto en sitios web"
"Product Info Column","Columna de información del producto"
"Product Information","Información del Producto"
"Product Link Block Template","Plantilla de bloque de enlace de producto"
"Product Link Inline Template","Plantilla en línea de Product Link"
"Product Listing Sort by","Listado de productos Ordenar por"
"Product Name","Nombre de producto"
"Product Prices","Precios de producto"
"Product Reviews","Reseñas de productos"
"Product Tags","Etiquetas de productos"
"Product Tier Price API","API de precio de nivel de producto"
"Product Type","tipo de producto"
"Product URL Suffix","Sufijo de URL de producto"
"Product View Extra Hint","Pista extra de Vista del producto"
"Product attribute sets API","API de conjunto de atributos de productos"
"Product attributes API","API de atributos de producto"
"Product collection expected.","Colección de productos esperada"
"Product is not loaded","El producto no está cargado"
"Product links API (related, cross sells, up sells)","API de enlaces de productos (relacionados, ventas cruzadas, ventas superiores)"
"Product types API","Tipo de producto API"
"Product with this combination of attributes already associated to configurable.","Producto con esta combinación de atributos ya asociada a configurable."
Products,Productos
"Products Comparison List","Lista de comparación de productos"
